Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,Customer Type,Feedback
20,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
24,Female,Single,Student,Below Rs.10000,Graduate,3,Regular,Positive
22,Male,Single,Student,Below Rs.10000,Post Graduate,3,Regular,Negative 
22,Female,Single,Student,No Income,Graduate,6,Frequent,Positive
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,Frequent,Positive
27,Female,Married,Employee,More than 50000,Post Graduate,2,Regular,Positive
22,Male,Single,Student,No Income,Graduate,3,Regular,Positive
24,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,2,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
22,Female,Single,Student,No Income,Post Graduate,5,Frequent,Positive
23,Male,Single,Student,Below Rs.10000,Post Graduate,2,Regular,Negative 
23,Male,Single,Student,No Income,Post Graduate,5,Frequent,Positive
21,Male,Single,Student,No Income,Graduate,4,Frequent,Positive
23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,Frequent,Positive
24,Female,Single,Student,No Income,Post Graduate,6,Frequent,Positive
28,Female,Single,Employee,25001 to 50000,Post Graduate,2,Regular,Positive
23,Female,Single,Student,No Income,Graduate,3,Regular,Negative 
25,Male,Single,Student,No Income,Graduate,4,Frequent,Negative 
21,Female,Single,Student,Below Rs.10000,Post Graduate,1,New,Positive
24,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
22,Male,Single,Student,No Income,Post Graduate,4,Frequent,Positive
22,Female,Single,Student,No Income,Graduate,4,Frequent,Positive
23,Male,Single,Student,No Income,Graduate,4,Frequent,Positive
21,Male,Single,Student,Below Rs.10000,Post Graduate,3,Regular,Positive
25,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
22,Female,Single,Student,No Income,Post Graduate,5,Frequent,Positive
22,Male,Single,Student,No Income,Post Graduate,3,Regular,Positive
23,Female,Single,Employee,10001 to 25000,Graduate,3,Regular,Positive
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,Frequent,Positive
22,Female,Single,Employee,10001 to 25000,Graduate,5,Frequent,Positive
22,Male,Single,Student,No Income,Post Graduate,4,Frequent,Positive
25,Male,Married,Employee,More than 50000,Ph.D,4,Frequent,Positive
22,Female,Single,Student,10001 to 25000,Post Graduate,5,Frequent,Positive
22,Female,Single,Student,No Income,Post Graduate,2,Regular,Positive
25,Male,Single,Student,10001 to 25000,Post Graduate,3,Regular,Positive
25,Male,Single,Student,No Income,Post Graduate,5,Frequent,Positive
32,Female,Prefer not to say,House wife,No Income,Graduate,5,Frequent,Negative 
23,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
23,Female,Single,Student,No Income,Post Graduate,4,Frequent,Positive
30,Male,Married,Self Employeed,More than 50000,Uneducated,4,Frequent,Negative 
23,Male,Single,Student,No Income,Graduate,3,Regular,Positive
23,Male,Single,Student,No Income,Post Graduate,4,Frequent,Positive
22,Female,Single,Student,No Income,Post Graduate,5,Frequent,Positive
22,Male,Single,Student,No Income,Graduate,5,Frequent,Positive
27,Female,Married,Self Employeed,10001 to 25000,Post Graduate,2,Regular,Positive
24,Female,Single,Student,No Income,Post Graduate,3,Regular,Positive
